2025-02-05 17:12:50.6|Info|Bootstrap|Starting Lidarr - /app/lidarr/bin/Lidarr - Version 2.9.6.4552
2025-02-05 17:12:51.0|Info|AppFolderInfo|Data directory is being overridden to [/config]
2025-02-05 17:12:51.0|Info|AppFolderInfo|Data directory is being overridden to [/config]
2025-02-05 17:12:51.9|Info|AppFolderInfo|Data directory is being overridden to [/config]
2025-02-05 17:12:52.1|Warn|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|No XML encryptor configured. Key {5507a910-ad14-4911-9cd7-d6dabe1e135c} may be persisted to storage in unencrypted form.
2025-02-05 17:12:52.5|Info|MigrationController|*** Migrating data source=/config/lidarr.db;cache size=-20000;datetimekind=Utc;journal mode=Wal;pooling=True;version=3;busytimeout=100 ***
2025-02-05 17:12:52.7|Info|FluentMigrator.Runner.MigrationRunner|DatabaseEngineVersionCheck migrating
2025-02-05 17:12:52.8|Info|FluentMigrator.Runner.MigrationRunner|PerformDBOperation 
2025-02-05 17:12:52.8|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|Performing DB Operation
2025-02-05 17:12:52.9|Info|DatabaseEngineVersionCheck|SQLite 3.47.1
2025-02-05 17:12:52.9|Info|FluentMigrator.Runner.MigrationRunner|=> 0.1670446s
2025-02-05 17:12:53.0|Info|FluentMigrator.Runner.MigrationRunner|DatabaseEngineVersionCheck migrated
2025-02-05 17:12:53.0|Info|FluentMigrator.Runner.MigrationRunner|=> 0.1888549s
2025-02-05 17:12:53.0|Info|FluentMigrator.Runner.MigrationRunner|VersionMigration migrating
2025-02-05 17:12:53.0|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|Beginning Transaction
2025-02-05 17:12:53.0|Info|FluentMigrator.Runner.MigrationRunner|CreateTable VersionInfo
2025-02-05 17:12:53.0|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|CREATE TABLE "VersionInfo" ("Version" INTEGER NOT NULL)
2025-02-05 17:12:53.1|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0530613s
2025-02-05 17:12:53.1|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|Committing Transaction
2025-02-05 17:12:53.1|Info|FluentMigrator.Runner.MigrationRunner|VersionMigration migrated
2025-02-05 17:12:53.1|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0601342s
2025-02-05 17:12:53.1|Info|FluentMigrator.Runner.MigrationRunner|VersionUniqueMigration migrating
2025-02-05 17:12:53.1|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|Beginning Transaction
2025-02-05 17:12:53.1|Info|FluentMigrator.Runner.MigrationRunner|CreateIndex VersionInfo (Version)
2025-02-05 17:12:53.1|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|CREATE UNIQUE INDEX "UC_Version" ON "VersionInfo" ("Version" ASC)
2025-02-05 17:12:53.1|Info|FluentMigrator.Runner.MigrationRunner|=> 0.006949s
2025-02-05 17:12:53.1|Info|FluentMigrator.Runner.MigrationRunner|AlterTable VersionInfo
2025-02-05 17:12:53.1|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0005512s
2025-02-05 17:12:53.1|Info|FluentMigrator.Runner.MigrationRunner|CreateColumn VersionInfo AppliedOn DateTime
2025-02-05 17:12:53.1|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|ALTER TABLE "VersionInfo" ADD COLUMN "AppliedOn" DATETIME
2025-02-05 17:12:53.1|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0010573s
2025-02-05 17:12:53.1|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|Committing Transaction
2025-02-05 17:12:53.1|Info|FluentMigrator.Runner.MigrationRunner|VersionUniqueMigration migrated
2025-02-05 17:12:53.1|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0155288s
2025-02-05 17:12:53.1|Info|FluentMigrator.Runner.MigrationRunner|VersionDescriptionMigration migrating
2025-02-05 17:12:53.1|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|Beginning Transaction
2025-02-05 17:12:53.1|Info|FluentMigrator.Runner.MigrationRunner|AlterTable VersionInfo
2025-02-05 17:12:53.1|Info|FluentMigrator.Runner.MigrationRunner|=> 2.04E-05s
2025-02-05 17:12:53.1|Info|FluentMigrator.Runner.MigrationRunner|CreateColumn VersionInfo Description String
2025-02-05 17:12:53.1|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|ALTER TABLE "VersionInfo" ADD COLUMN "Description" TEXT
2025-02-05 17:12:53.1|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0004305s
2025-02-05 17:12:53.1|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|Committing Transaction
2025-02-05 17:12:53.1|Info|FluentMigrator.Runner.MigrationRunner|VersionDescriptionMigration migrated
2025-02-05 17:12:53.1|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0051522s
2025-02-05 17:12:53.1|Info|FluentMigrator.Runner.MigrationRunner|1: InitialSetup migrating
2025-02-05 17:12:53.1|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|Beginning Transaction
2025-02-05 17:12:53.1|Info|InitialSetup|Starting migration of Main DB to 1
2025-02-05 17:12:53.2|Info|FluentMigrator.Runner.MigrationRunner|CreateTable Config
